,Длительность перехода из Электросварочный стан в Буфер_plan,Длительность перехода из Электросравочный стан в Буфер_fact,Длительность перехода из Буфера на Кромкообрабатывающие станки_plan,Длительность перехода из Буфера на Кромкообрабатывающие станки_fact,Длительность перехода из Кромкообрабатывающие станки в Буфер.1_plan,Длительность перехода из Кромкообрабатывающие станки в Буфер.1_fact,Длительность перехода из Буфер.1 на Термообработку_plan,Длительность перехода из Буфер.1 на Термообработку_fact,Длительность перехода из Термообработка в Буфер.2_plan,Длительность перехода из Термообработка в Буфер.2_fact,Длительность перехода из Буфер.2 на Испытания_plan,Длительность перехода из Буфер.2 на Испытания_fact,Длительность перехода из Испытания на Склад готовой продукции_plan,Длительность перехода из Испытания на Склад готовой продукции_fact
,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum
Номер заказа,,,,,,,,,,,,,,
425,23 days 16:48:00,41 days 15:36:00,0 days 03:47:31.200000,7 days 09:51:00,4 days 22:30:00,6 days 12:25:00,1 days 04:26:24,12 days 05:02:00,6 days 17:09:36,11 days 23:15:00,0 days 03:47:31.200000,4 days 18:25:00,3 days 03:50:24,6 days 14:54:00
445,12 days 07:12:00,20 days 16:33:00,0 days 01:58:04.800000,1 days 09:53:00,2 days 13:30:00,5 days 03:12:00,0 days 14:45:36,6 days 20:29:00,3 days 11:38:24,7 days 20:10:00,0 days 01:58:04.800000,0 days 14:10:00,1 days 15:21:36,1 days 16:55:00
446,24 days 00:00:00,39 days 21:54:00,0 days 03:50:24,11 days 14:03:00,5 days 00:00:00,17 days 11:28:00,1 days 04:48:00,5 days 06:42:00,6 days 19:12:00,8 days 17:48:00,0 days 03:50:24,0 days 06:57:00,3 days 04:48:00,3 days 08:14:00
447,22 days 19:12:00,38 days 08:35:00,0 days 03:38:52.800000,12 days 03:23:00,4 days 18:00:00,15 days 02:49:00,1 days 03:21:36,3 days 18:29:00,6 days 11:02:24,11 days 02:23:00,0 days 03:38:52.800000,9 days 07:50:00,3 days 00:57:36,3 days 19:06:00
448,24 days 00:00:00,43 days 02:02:00,0 days 03:50:24,11 days 01:44:00,5 days 00:00:00,10 days 17:43:00,1 days 04:48:00,5 days 20:05:00,6 days 19:12:00,15 days 21:59:00,0 days 03:50:24,5 days 07:16:00,3 days 04:48:00,3 days 08:12:00
449,24 days 00:00:00,46 days 07:39:00,0 days 03:50:24,1 days 03:38:00,5 days 00:00:00,19 days 16:41:00,1 days 04:48:00,12 days 15:08:00,6 days 19:12:00,17 days 16:06:00,0 days 03:50:24,3 days 09:43:00,3 days 04:48:00,4 days 14:47:00
450,18 days 21:36:00.001000,30 days 17:57:00,0 days 03:01:26.400000,4 days 21:15:00,3 days 22:30:00,9 days 17:08:00,0 days 22:40:48,9 days 16:05:00,5 days 08:31:12,13 days 00:36:00,0 days 03:01:26.400000,0 days 09:15:00,2 days 12:28:48,2 days 15:23:00
451,15 days 07:12:00,22 days 15:49:00,0 days 02:26:52.800000,7 days 19:52:00,3 days 04:30:00,7 days 04:12:00,0 days 18:21:36,7 days 01:17:00,4 days 08:02:24,8 days 01:42:00,0 days 02:26:52.800000,0 days 04:02:00,2 days 00:57:36,2 days 03:01:00
452,24 days 00:00:00,38 days 16:55:00,0 days 03:50:24,4 days 06:48:00,5 days 00:00:00,14 days 23:03:00,1 days 04:48:00,13 days 09:40:00,6 days 19:12:00,12 days 11:09:00,0 days 03:50:24,0 days 07:09:00,3 days 04:48:00,3 days 08:05:00
453,21 days 00:00:00,32 days 09:55:00,0 days 03:21:36,22 days 14:02:00,4 days 09:00:00,9 days 04:04:00,1 days 01:12:00,2 days 11:36:00,5 days 22:48:00,5 days 20:03:00,0 days 03:21:36,0 days 06:00:00,2 days 19:12:00,4 days 08:03:00
454,22 days 12:00:00,44 days 17:15:00,0 days 03:36:00,8 days 12:42:00,4 days 16:30:00,7 days 01:34:00,1 days 03:00:00,4 days 21:47:00,6 days 09:00:00,13 days 11:15:00,0 days 03:36:00,0 days 06:47:00,3 days 00:00:00,3 days 03:24:00
455,9 days 00:00:00,19 days 10:55:00,0 days 01:26:24,1 days 22:21:00,1 days 21:00:00,2 days 00:17:00,0 days 10:48:00,3 days 22:02:00,2 days 13:12:00,4 days 06:44:00,0 days 01:26:24,0 days 02:06:00,1 days 04:48:00,1 days 06:08:00
456,10 days 12:00:00,20 days 06:04:00,0 days 01:40:48,0 days 23:43:00,2 days 04:30:00,6 days 06:26:00,0 days 12:36:00,0 days 11:44:00,2 days 23:24:00,8 days 02:57:00,0 days 01:40:48,0 days 03:15:00,1 days 09:36:00,1 days 23:26:00
458,7 days 12:00:00,9 days 06:14:00,0 days 01:12:00,0 days 22:56:00,1 days 13:30:00,3 days 04:27:00,0 days 09:00:00,5 days 21:40:00,2 days 03:00:00,3 days 19:11:00,0 days 01:12:00,1 days 18:15:00,1 days 00:00:00,3 days 17:43:00
459,24 days 00:00:00,27 days 12:37:00,0 days 03:50:24,24 days 15:10:00,5 days 00:00:00,6 days 21:10:00,1 days 04:48:00,3 days 10:08:00,6 days 19:12:00,11 days 09:31:00,0 days 03:50:24,8 days 14:15:00,3 days 04:48:00,14 days 03:50:00
460,24 days 00:00:00,35 days 18:35:00,0 days 03:50:24,9 days 06:19:00,5 days 00:00:00,5 days 00:01:00,1 days 04:48:00,11 days 06:33:00,6 days 19:12:00,11 days 18:54:00,0 days 03:50:24,12 days 23:42:00,3 days 04:48:00,4 days 09:40:00
461,24 days 00:00:00,40 days 19:40:00,0 days 03:50:24,7 days 06:15:00,5 days 00:00:00,7 days 14:08:00,1 days 04:48:00,19 days 17:04:00,6 days 19:12:00,6 days 21:04:00,0 days 03:50:24,4 days 06:31:00,3 days 04:48:00,3 days 08:02:00
462,19 days 19:12:00,36 days 04:15:00,0 days 03:10:04.800000,10 days 08:15:00,4 days 03:00:00,5 days 05:35:00,0 days 23:45:36,13 days 04:37:00,5 days 14:38:24,10 days 04:57:00,0 days 03:10:04.800000,3 days 11:11:00,2 days 15:21:36,5 days 14:17:00
464,18 days 14:24:00,31 days 22:13:00,0 days 02:58:33.600000,1 days 12:49:00,3 days 21:00:00,13 days 23:43:00,0 days 22:19:12,3 days 23:27:00,5 days 06:28:48,8 days 19:23:00,0 days 02:58:33.600000,0 days 18:13:00,2 days 11:31:12,6 days 01:48:00
465,0 days 07:12:00,0 days 13:07:00,0 days 00:02:52.800000,0 days 02:44:00,0 days 01:30:00,0 days 04:17:00,0 days 00:21:36,0 days 00:59:00,0 days 02:02:24,0 days 02:00:00,0 days 00:02:52.800000,0 days 00:57:00,0 days 00:57:36,0 days 01:00:00
473,0 days 14:24:00,1 days 04:42:00,0 days 00:05:45.600000,0 days 02:13:00,0 days 03:00:00,0 days 06:47:00,0 days 00:43:12,0 days 00:24:00,0 days 04:04:48,0 days 06:58:00,0 days 00:05:45.600000,0 days 02:52:00,0 days 01:55:12,0 days 04:32:00
474,24 days 00:00:00,52 days 06:23:00,0 days 03:50:24,0 days 18:33:00,5 days 00:00:00,9 days 21:33:00,1 days 04:48:00,3 days 07:26:00,6 days 19:12:00,9 days 06:27:00,0 days 03:50:24,4 days 18:01:00,3 days 04:48:00,9 days 07:40:00
