Длительность перехода из Электросварочный стан в Буфер_plan,Длительность перехода из Буфера на Кромкообрабатывающие станки_plan,Длительность перехода из Кромкообрабатывающие станки в Буфер.1_plan,Длительность перехода из Буфер.1 на Термообработку_plan,Длительность перехода из Термообработка в Буфер.2_plan,Длительность перехода из Буфер.2 на Испытания_plan,Длительность перехода из Испытания на Склад готовой продукции_plan,Длительность перехода
mean,mean,mean,mean,mean,mean,mean,
0 days 07:19:41.233225091,0 days 00:04:25.419072895,0 days 01:33:23.371289141,0 days 00:25:41.482309780,0 days 02:04:16.456892944,0 days 00:04:53.627694184,0 days 00:59:56.416226209,0 days 12:32:18.006710244
0 days 07:13:28.660907127,0 days 00:02:54.403887688,0 days 01:30:42.937365010,0 days 00:21:30.755939524,0 days 02:24:07.721382289,-1 days +23:41:53.388768899,0 days 00:58:29.460043196,0 days 12:13:07.328293733
0 days 07:12:00.000000421,0 days 00:02:52.800000,0 days 01:30:00,0 days 00:21:36,0 days 02:02:24,0 days 00:02:52.800000,0 days 00:57:36,0 days 12:09:21.600000421
