Длительность перехода из Электросварочный стан в Буфер_plan,Длительность перехода из Электросварочный стан в Буфер_plan,Длительность перехода из Электросравочный стан в Буфер_fact,Длительность перехода из Электросравочный стан в Буфер_fact,Длительность перехода из Буфера на Кромкообрабатывающие станки_plan,Длительность перехода из Буфера на Кромкообрабатывающие станки_plan,Длительность перехода из Буфера на Кромкообрабатывающие станки_fact,Длительность перехода из Буфера на Кромкообрабатывающие станки_fact,Длительность перехода из Кромкообрабатывающие станки в Буфер.1_plan,Длительность перехода из Кромкообрабатывающие станки в Буфер.1_plan,Длительность перехода из Кромкообрабатывающие станки в Буфер.1_fact,Длительность перехода из Кромкообрабатывающие станки в Буфер.1_fact,Длительность перехода из Буфер.1 на Термообработку_plan,Длительность перехода из Буфер.1 на Термообработку_plan,Длительность перехода из Буфер.1 на Термообработку_fact,Длительность перехода из Буфер.1 на Термообработку_fact,Длительность перехода из Термообработка в Буфер.2_plan,Длительность перехода из Термообработка в Буфер.2_plan,Длительность перехода из Термообработка в Буфер.2_fact,Длительность перехода из Термообработка в Буфер.2_fact,Длительность перехода из Буфер.2 на Испытания_plan,Длительность перехода из Буфер.2 на Испытания_plan,Длительность перехода из Буфер.2 на Испытания_fact,Длительность перехода из Буфер.2 на Испытания_fact,Длительность перехода из Испытания на Склад готовой продукции_plan,Длительность перехода из Испытания на Склад готовой продукции_plan,Длительность перехода из Испытания на Склад готовой продукции_fact,Длительность перехода из Испытания на Склад готовой продукции_fact
sum,mean,sum,mean,sum,mean,sum,mean,sum,mean,sum,mean,sum,mean,sum,mean,sum,mean,sum,mean,sum,mean,sum,mean,sum,mean,sum,mean
3003 days 07:23:30.002000,0 days 07:19:41.233225091,4178 days 07:36:00,0 days 10:11:42.578283855,30 days 05:11:02.001000,0 days 00:04:25.419072895,614 days 11:08:00,0 days 01:29:57.486783245,637 days 21:39:20,0 days 01:33:23.371289141,1043 days 18:22:00,0 days 02:32:48.495323302,175 days 11:40:19.999000,0 days 00:25:41.482309780,836 days 16:51:00,0 days 02:02:29.640097600,848 days 20:41:49.999000,0 days 02:04:16.456892944,1208 days 08:53:00,0 days 02:56:54.394062627,33 days 10:15:22,0 days 00:04:53.627694184,306 days 13:33:00,0 days 00:44:52.881252541,409 days 10:12:30.001000,0 days 00:59:56.416226209,622 days 08:41:00,0 days 01:31:06.862545750
278 days 18:00:20,0 days 07:13:28.660907127,288 days 05:25:00,0 days 07:28:12.764578833,1 days 20:51:38,0 days 00:02:54.403887688,29 days 13:39:00,0 days 00:45:58.898488120,58 days 08:02:40,0 days 01:30:42.937365010,73 days 08:28:00,0 days 01:54:04.146868250,13 days 20:00:40,0 days 00:21:30.755939524,42 days 01:10:00,0 days 01:05:23.326133909,92 days 16:23:10,0 days 02:24:07.721382289,97 days 21:57:00,0 days 02:32:15.874730021,-12 days +08:29:58,-1 days +23:41:53.388768899,3 days 05:35:00,0 days 00:05:01.619870410,37 days 14:42:40,0 days 00:58:29.460043196,55 days 15:45:00,0 days 01:26:32.980561555
1423 days 04:48:00.002000,0 days 07:12:00.000000421,2460 days 16:06:00,0 days 12:26:54.915682967,9 days 11:42:43.200000,0 days 00:02:52.800000,596 days 13:56:00,0 days 03:01:05.210792580,296 days 12:00:00,0 days 01:30:00,597 days 05:19:00,0 days 03:01:16.884485666,71 days 03:50:24,0 days 00:21:36,582 days 04:46:00,0 days 02:56:43.279932546,403 days 05:45:36,0 days 02:02:24,711 days 15:56:00,0 days 03:36:01.163575042,9 days 11:42:43.200000,0 days 00:02:52.800000,214 days 01:20:00,0 days 01:04:58.482293423,189 days 18:14:24,0 days 00:57:36,391 days 12:31:00,0 days 01:58:50.577571669
